granule_uid,obs_id,detection_type,mass,period,star_spec_type,semi_major_axis,radius
WASP-156 b,6665,Primary Transit,0.1303,3.8361603,K3,0.0451,0.554
WASP-157 b,2598,Primary Transit,0.576,3.951623,G2 V,0.0499,0.998
WASP-166 b,6893,Primary Transit,0.102,5.44354215,F9,0.0668,0.6155
WASP-167 b,6585,Primary Transit,8.0,2.0219591,F1 V,0.0365,1.51
WASP-169 b,7095,Primary Transit,0.561,5.6114118,,0.0681,1.304
WASP-171 b,7096,Primary Transit,1.084,3.8186244,,0.0504,0.988
WASP-175 b,7097,Primary Transit,0.99,3.0652907,,0.044,1.208
WASP-176 b,7384,Primary Transit,0.855,3.899052,,0.0535,1.505
WASP-177 b,7051,Primary Transit,0.508,3.071722,K2,0.03957,1.58
WASP-178 b,7170,Primary Transit,1.41,3.3448285,A1IV-V,0.0558,1.94
WASP-18 b,577,Primary Transit,10.4296,0.9414518,F6,0.02047,1.165
WASP-18 c,7157,TTV,0.1737,2.1558,F6,,
WASP-180 A b,7108,Primary Transit,0.8,3.409265,F7 V-V,0.048,1.29
WASP-181 b,7052,Primary Transit,0.299,4.5195064,G2,0.05427,1.184
WASP-182 b,7098,Primary Transit,0.148,3.3769848,,0.0451,0.85
WASP-183 b,7053,Primary Transit,0.502,4.1117771,G9/K0,0.04632,1.47
WASP-184 b,7169,Primary Transit,0.57,5.1817,G0,0.0627,1.33
WASP-186 b,7499,Primary Transit,4.22,5.026799,,0.06,1.11
WASP-187 b,7500,Primary Transit,0.8,5.147878,,0.0653,1.64
WASP-189 b,6871,Primary Transit,1.99,2.724033,A6IV-V,0.05053,1.619
WASP-190 b,6890,Primary Transit,1.0,5.367753,F6-IV-V,0.0663,1.15
WASP-2 A b,347,Primary Transit,0.847,2.15222144,K1V,0.03138,1.079
WASP-20 A b,914,Primary Transit,0.313,4.8996285,,0.06003,1.459
WASP-21 b,666,Primary Transit,0.3,4.3225126,G3V,0.052,1.21
WASP-22 b,663,Primary Transit,0.617,3.5327313,,0.04698,1.199
WASP-24 b,667,Primary Transit,1.071,2.3412127,F8-9,0.03651,1.3
WASP-25 b,668,Primary Transit,0.58,3.76483,G4,0.0474,1.26
WASP-26 b,664,Primary Transit,1.028,2.7566004,G0,0.03985,1.281
WASP-28 b,669,Primary Transit,0.907,3.40883,F8-G0,0.04469,1.213
WASP-29 b,670,Primary Transit,0.243,3.92271218,K4V,0.047,0.775
WASP-3 b,432,Primary Transit,2.06,1.8468372,F7V,0.0313,1.454
WASP-31 b,707,Primary Transit,0.478,3.405909,F,0.04657,1.537
WASP-33 b,671,Primary Transit,2.8,1.21986967,A5,0.02558,1.603
WASP-34 b,783,Primary Transit,0.59,4.3176782,G5,0.0524,1.22
WASP-36 b,706,Primary Transit,2.279,1.5373653,G2,0.02624,1.269
WASP-37 b,725,Primary Transit,1.8,3.577471,G2,0.04339,1.16
WASP-38 b,747,Primary Transit,2.712,6.871815,F8,0.07551,1.079
WASP-39 b,818,Primary Transit,0.28,4.055259,G8,0.0486,1.27
WASP-4 b,433,Primary Transit,1.1974,1.338231602,G8,0.02312,1.3846
WASP-41 b,782,Primary Transit,0.94,3.052404,G8V,0.04,1.18
WASP-47 b,916,Primary Transit,1.14243,4.1591289,G9V,0.052,1.127
WASP-47 c,2445,Radial Velocity,1.31,596.0,G9V,1.41,
WASP-47 d,2426,Primary Transit,0.04122,9.03077,G9V,0.088,0.319
WASP-47 e,2425,Primary Transit,0.02149,0.789592,G9V,0.0173,0.161
WASP-49 A b,917,Primary Transit,0.378,2.7817387,,0.0378,1.115
WASP-5 b,434,Primary Transit,1.637,1.6284246,G5,0.02729,1.171
WASP-50 b,885,Primary Transit,1.437,1.9550959,G9,0.02913,1.138
WASP-52 b,918,Primary Transit,0.46,1.7497798,K2V,0.0272,1.27
WASP-53 b,919,Primary Transit,2.132,3.3098443,K3,0.04101,1.074
WASP-55 b,921,Primary Transit,0.61,4.46563,G1,0.0533,1.33
WASP-58 b,924,Primary Transit,0.89,5.01718,G2V,0.0561,1.37
WASP-59 b,925,Primary Transit,0.863,7.919585,K5V,0.0697,0.775
WASP-6 b,460,Primary Transit,0.503,3.361006,G8,0.0421,1.224
WASP-60 b,926,Primary Transit,0.5,4.3,G1V,,0.9
WASP-61 b,927,Primary Transit,2.06,3.8559,F7,0.0514,1.24
WASP-62 b,928,Primary Transit,0.57,4.411953,F7,0.0567,1.39
WASP-63 b,929,Primary Transit,0.38,4.37809,G8,0.0574,1.43
WASP-65 b,931,Primary Transit,1.55,2.3114243,G6,0.0334,1.112
WASP-66 b,932,Primary Transit,2.32,4.086052,F4,0.0546,1.39
WASP-67 b,933,Primary Transit,0.42,4.61442,K0V,0.0517,1.4
WASP-69 b,935,Primary Transit,0.26,3.8681382,K5,0.04525,1.057
WASP-7 b,461,Primary Transit,0.96,4.9546416,F5V,0.0617,1.33
WASP-70 A b,936,Primary Transit,0.59,3.7130203,G4,0.04853,1.164
WASP-71 b,1225,Primary Transit,2.258,2.9036747,F8,0.04631,1.5
WASP-74 b,2389,Primary Transit,0.826,2.13775138,F9,0.03443,1.248
WASP-75 b,1325,Primary Transit,1.07,2.484193,F9,0.0375,1.27
WASP-76 b,1420,Primary Transit,0.92,1.809886,F7,0.033,1.83
WASP-78 b,1132,Primary Transit,0.89,2.17517656,F8,0.0415,1.7
WASP-79 b,1133,Primary Transit,0.9,3.6623817,F3,0.0539,1.7
WASP-8 b,462,Primary Transit,2.244,8.158715,G6,0.0801,1.038
WASP-80 b,1250,Primary Transit,0.554,3.0678504,K7V,0.0346,0.952
WASP-81 b,4085,Primary Transit,0.729,2.7164762,G1,0.03908,1.429
WASP-82 b,1422,Primary Transit,1.24,2.705782,F5,0.0447,1.67
WASP-83 b,2390,Primary Transit,0.3,4.071252,G8,0.059,1.04
WASP-84 b,1430,Primary Transit,0.694,8.5234865,K0,0.0771,0.942
WASP-87 A b,2320,Primary Transit,2.21,1.682795,F5,0.02946,1.385
WASP-90 b,1421,Primary Transit,0.63,3.916243,F6,0.0562,1.63
WASP-92 b,3992,Primary Transit,0.805,2.1746742,F7,0.0348,1.461
WASP-93 b,4019,Primary Transit,1.47,2.7325321,F4,0.04211,1.597
WD 1145+017 b,2456,Primary Transit,2.1e-06,0.1875,WD,,
WTS-1 b,1207,Primary Transit,4.01,3.352059,,0.047,1.49
WTS-2 b,1415,Primary Transit,1.12,1.0187074,K3V,0.01855,1.3
Wendelstein-1 b,7411,Primary Transit,0.59,2.663416,,0.0282,1.0
Wendelstein-2 b,7412,Primary Transit,0.73,1.7522239,,0.0234,1.0
XO-1 b,329,Primary Transit,0.9,3.9415128,G1V,0.0488,1.184
XO-2N b,399,Primary Transit,0.62,2.615838,K0V,0.0369,0.973
XO-3 b,400,Primary Transit,11.79,3.1915239,F5V,0.0454,1.217
XO-4 b,477,Primary Transit,1.616,4.12473,F5V,0.05485,1.317
XO-5 b,476,Primary Transit,1.077,4.1877537,G8V,0.0487,1.03
XO-6 b,4076,Primary Transit,1.9,3.7650007,F5,0.0815,2.07
XO-7 b,7233,Primary Transit,0.709,2.8641424,GOV,0.04421,1.373
XTE J1807-294 b,6958,Pulsar,14.5,0.0278292,,,
ZTFJ0220+21 b,7962,Primary Transit,14.0,0.037,WD,,0.54
b Cen b,8030,Imaging,10.9,1800000.0,B3V,556.0,
beta Pic b,521,Imaging,11.9,7707.0,A6V,9.93,1.65
beta Pic c,7175,Radial Velocity,8.89,1227.0,A6V,2.68,1.2
eps Eridani b,73,Radial Velocity,0.65,2671.0,K2 V,3.53,
eps Ind A b,6731,Radial Velocity,3.25,16509.0,K2V,11.55,
kappa And b,1226,Imaging,13.0,215000.0,B9IV,100.0,1.2
pi Men b,83,Radial Velocity,12.6,2088.33,G0V,3.308,
pi Men c,6825,Primary Transit,0.01142,6.267852,G0V,0.06702,0.16719
tau Boo A b,7,Radial Velocity,5.84,3.31249,F7 V,0.046,1.06
ups And b,13,Radial Velocity,0.62,4.61711,F8 V,0.059,
ups And c,14,Radial Velocity,9.1,240.937,F8 V,0.861,
